scenario,taskCount,run,totalCpuTime,totalWaitTime,avgStartTime,avgExecutionTime,avgFinishTime,throughput,makespan,imbalanceDegree,resourceUtilization,totalEnergy
MOWS,5000,10,21176313.9889999930,0.0000000000,0.3000000000,4235.2627978000,4235.5627978000,0.1226655970,40761.2250000000,1.1086752355,9.6207599933,146740410.0000000000
Baseline_RoundRobin,5000,1,20030496.8360000070,0.0000000000,0.3000000000,4006.0993672000,4006.3993672000,0.1809832239,27626.8700000000,0.1232116258,13.4266070167,99456731.9999999900
Baseline_RoundRobin,5000,2,20030498.9440000130,0.0000000000,0.3000000000,4006.0997888000,4006.3997888000,0.1809832239,27626.8700000000,0.1232128367,13.4266084298,99456732.0000000300
Baseline_RoundRobin,5000,3,20030494.3330000560,0.0000000000,0.3000000000,4006.0988666000,4006.3988666000,0.1809832239,27626.8700000000,0.1232128166,13.4266053390,99456732.0000000000
Baseline_RoundRobin,5000,4,20030495.8250000100,0.0000000000,0.3000000000,4006.0991650000,4006.3991650000,0.1809832239,27626.8700000000,0.1232152580,13.4266063391,99456731.9999999900
Baseline_RoundRobin,5000,5,20030495.6549999970,0.0000000000,0.3000000000,4006.0991310000,4006.3991310000,0.1809832305,27626.8690000000,0.1232124876,13.4266067111,99456728.3999999800
Baseline_RoundRobin,5000,6,20030498.3340000000,0.0000000000,0.3000000000,4006.0996668000,4006.3996668000,0.1809832239,27626.8700000000,0.1232122932,13.4266080209,99456731.9999999900
Baseline_RoundRobin,5000,7,20030494.5660000030,0.0000000000,0.3000000000,4006.0989132000,4006.3989132000,0.1809832239,27626.8700000000,0.1232131710,13.4266054951,99456731.9999999700
Baseline_RoundRobin,5000,8,20030497.5560000050,0.0000000000,0.3000000000,4006.0995112000,4006.3995112000,0.1809832108,27626.8720000000,0.1232136352,13.4266065274,99456739.1999999900
Baseline_RoundRobin,5000,9,20030493.1819999850,0.0000000000,0.3000000000,4006.0986364000,4006.3986364000,0.1809831715,27626.8780000000,0.1232179836,13.4266006795,99456760.7999999800
Baseline_RoundRobin,5000,10,20030496.8360000070,0.0000000000,0.3000000000,4006.0993672000,4006.3993672000,0.1809832239,27626.8700000000,0.1232116258,13.4266070167,99456731.9999999900
MOWS,6000,1,30055597.8030000180,0.0000000000,0.3000000000,5009.2663005000,5009.5663005000,0.1371749137,43739.7760000000,1.1717148139,12.7249198647,157463193.6000000200
MOWS,6000,2,30001905.2960000000,0.0000000000,0.3000000000,5000.3175493333,5000.6175493333,0.0992497677,60453.5420000000,1.4380618743,9.1903769479,217632751.2000000000
MOWS,6000,3,29822038.3010000700,0.0000000000,0.3000000000,4970.3397168333,4970.6397168333,0.1385961046,43291.2600000000,0.9555614585,12.7568467293,155848536.0000000000
MOWS,6000,4,29871946.9439999950,0.0000000000,0.3000000000,4978.6578240000,4978.9578240000,0.1192927704,50296.4260000000,1.0163160142,10.9984793485,181067133.6000000000
MOWS,6000,5,30039220.9600000000,0.0000000000,0.3000000000,5006.5368266667,5006.8368266667,0.0894272382,67093.6520000000,1.5609564618,8.2911252115,241537147.1999999600
MOWS,6000,6,29960145.4469999370,0.0000000000,0.3000000000,4993.3575745000,4993.6575745000,0.1351379353,44399.0800000000,1.2945803932,12.4961487553,159836687.9999999700
MOWS,6000,7,29886258.9950000300,0.0000000000,0.3000000000,4981.0431658333,4981.3431658333,0.1138798292,52687.1180000000,1.1139741348,10.5044508346,189673624.7999999800
MOWS,6000,8,30247532.6070000700,0.0000000000,0.3000000000,5041.2554345000,5041.5554345000,0.0905443126,66265.8960000000,1.3449518411,8.4529075518,238557225.6000000200
MOWS,6000,9,29815840.7200000660,0.0000000000,0.3000000000,4969.3067866667,4969.6067866667,0.1236385388,48528.5580000000,0.9936717108,11.3777375895,174702808.7999999500
MOWS,6000,10,30110306.5490000140,0.0000000000,0.3000000000,5018.3844248333,5018.6844248333,0.1207588340,49685.8060000000,0.9801576188,11.2224861448,178868901.6000000000
